CODIGO MUNICIPIO IBGE;NOME ENTE;NOTA-GERAL;FAIXA GERAL; I-EDUC;FAIXA;I-SAUDE;FAIXA; I-PLANEJAMENTO;FAIXA; I-FISCAL;FAIXA; I-AMBIENTE;FAIXA; I-CIDADE;FAIXA;I-GOV-TI;FAIXA
2107456;Olinda Nova do Maranhão;54.75;C+;59.0;C+;82.0;B+;42.0;C;69.0;B;10.0;C;45.0;C;26.0;C
2107605;Palmeirândia;43.85;C;41.0;C;74.0;B;42.0;C;33.0;C;25.0;C;62.0;B;5.0;C
2107704;Paraibano;42.2;C;53.0;C+;57.0;C+;27.0;C;31.0;C;46.0;C;40.0;C;52.0;C+
2107803;Parnarama;41.15;C;58.0;C+;45.0;C;31.0;C;45.0;C;6.0;C;57.0;C+;42.0;C
2107902;Passagem Franca;39.4;C;43.0;C;42.0;C;40.0;C;50.0;C+;22.0;C;5.0;C;39.0;C
2108009;Pastos Bons;48.7;C;61.0;B;61.0;B;42.0;C;36.0;C;38.0;C;75.0;B+;35.0;C
2108108;Paulo Ramos;44.7;C;48.0;C;68.0;B;38.0;C;51.0;C+;22.0;C;5.0;C;21.0;C
2107506;Paço do Lumiar;53.9;C+;61.0;B;65.0;B;25.0;C;62.0;B;47.0;C;83.0;B+;57.0;C+
2108207;Pedreiras;24.6;C;29.0;C;50.0;C+;25.0;C;0.0;C;28.0;C;20.0;C;0.0;C
2108256;Pedro do Rosário;42.55;C;57.0;C+;47.0;C;35.0;C;58.0;C+;16.0;C;0.0;C;23.0;C
2108306;Penalva;49.2;C;41.0;C;83.0;B+;33.0;C;60.0;B;41.0;C;10.0;C;16.0;C
2108405;Peri Mirim;35.8;C;39.0;C;58.0;C+;29.0;C;33.0;C;16.0;C;5.0;C;31.0;C
2108504;Pindaré-Mirim;53.2;C+;62.0;B;68.0;B;37.0;C;64.0;B;54.0;C+;10.0;C;26.0;C
2108801;Pirapemas;56.75;C+;77.0;B+;64.0;B;40.0;C;63.0;B;33.0;C;80.0;B+;5.0;C
2109056;Porto Rico do Maranhão;42.8;C;50.0;C+;79.0;B+;29.0;C;36.0;C;32.0;C;0.0;C;16.0;C
2108900;Poção de Pedras;37.95;C;58.0;C+;56.0;C+;10.0;C;43.0;C;13.0;C;30.0;C;27.0;C
2109106;Presidente Dutra;51.5;C+;56.0;C+;61.0;B;40.0;C;45.0;C;66.0;B;33.0;C;57.0;C+
2109239;Presidente Médici;35.45;C;48.0;C;60.0;B;25.0;C;29.0;C;10.0;C;0.0;C;37.0;C
2109304;Presidente Vargas;49.95;C;42.0;C;80.0;B+;42.0;C;66.0;B;24.0;C;0.0;C;43.0;C
2109403;Primeira Cruz;53.7;C+;62.0;B;82.0;B+;25.0;C;54.0;C+;58.0;C+;15.0;C;47.0;C
2109502;Riachão;42.15;C;53.0;C+;48.0;C;35.0;C;54.0;C+;18.0;C;0.0;C;43.0;C
2109551;Ribamar Fiquene;46.9;C;49.0;C;69.0;B;27.0;C;70.0;B;17.0;C;20.0;C;32.0;C
2109601;Rosário;51.9;C+;67.0;B;71.0;B;44.0;C;39.0;C;49.0;C;25.0;C;23.0;C
2109700;Sambaíba;48.55;C;56.0;C+;65.0;B;35.0;C;67.0;B;15.0;C;20.0;C;37.0;C
2109759;Santa Filomena do Maranhão;45.95;C;53.0;C+;41.0;C;40.0;C;70.0;B;41.0;C;0.0;C;21.0;C
2109809;Santa Helena;48.45;C;45.0;C;73.0;B;25.0;C;75.0;B+;31.0;C;0.0;C;35.0;C
2110005;Santa Luzia;44.7;C;44.0;C;79.0;B+;26.0;C;53.0;C+;11.0;C;20.0;C;40.0;C
2110039;Santa Luzia do Paruá;43.7;C;65.0;B;76.0;B+;27.0;C;17.0;C;42.0;C;17.0;C;49.0;C
2110203;Santa Rita;49.95;C;45.0;C;60.0;B;42.0;C;74.0;B;35.0;C;20.0;C;29.0;C
2110302;Santo Antônio dos Lopes;27.15;C;45.0;C;39.0;C;0.0;C;40.0;C;11.0;C;0.0;C;25.0;C
2111722;Satubinha;48.35;C;59.0;C+;71.0;B;29.0;C;70.0;B;8.0;C;10.0;C;21.0;C
2111763;Senador La Rocque;30.2;C;41.0;C;37.0;C;27.0;C;39.0;C;11.0;C;0.0;C;10.0;C
2111789;Serrano do Maranhão;50.75;C+;48.0;C;76.0;B+;35.0;C;67.0;B;41.0;C;5.0;C;32.0;C
2110500;São Bento;37.3;C;58.0;C+;77.0;B+;0.0;C;16.0;C;26.0;C;45.0;C;49.0;C
2110609;São Bernardo;43.95;C;39.0;C;61.0;B;21.0;C;67.0;B;48.0;C;0.0;C;43.0;C
