CO_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA
15;Pará;1501907;Bujaru;Municipal;Total;169,95;179,59;174,77
15;Pará;1501956;Cachoeira do Piriá;Municipal;Total;159,92;172,47;166,195
15;Pará;1502004;Cachoeira do Arari;Municipal;Total;174,98;180,34;177,66
15;Pará;1502103;Cametá;Municipal;Total;164,18;174,72;169,45
15;Pará;1502152;Canaã dos Carajás;Municipal;Total;193,27;196,36;194,815
15;Pará;1502202;Capanema;Municipal;Total;187,6;194,12;190,86
15;Pará;1502301;Capitão Poço;Municipal;Total;169,9;180,41;175,155
15;Pará;1502400;Castanhal;Municipal;Total;196,43;202,83;199,63
15;Pará;1502509;Chaves;Municipal;Total;164,71;176,03;170,37
15;Pará;1502608;Colares;Municipal;Total;181,03;187,88;184,455
15;Pará;1502707;Conceição do Araguaia;Municipal;Total;179,23;186,92;183,075
15;Pará;1502756;Concórdia do Pará;Municipal;Total;172,57;181,58;177,075
15;Pará;1502764;Cumaru do Norte;Municipal;Total;177,24;188,46;182,85
15;Pará;1502772;Curionópolis;Municipal;Total;196,58;204,89;200,735
15;Pará;1502806;Curralinho;Municipal;Total;151,12;167,44;159,28
15;Pará;1502855;Curuá;Municipal;Total;165,08;171,94;168,51
15;Pará;1502905;Curuçá;Municipal;Total;178,62;179,64;179,13
15;Pará;1502939;Dom Eliseu;Municipal;Total;202,26;213,79;208,025
15;Pará;1502954;Eldorado do Carajás;Municipal;Total;178,59;186,35;182,47
15;Pará;1503002;Faro;Municipal;Total;172,26;180,55;176,405
15;Pará;1503044;Floresta do Araguaia;Municipal;Total;171,5;182,67;177,085
15;Pará;1503077;Garrafão do Norte;Municipal;Total;167,72;175,79;171,755
15;Pará;1503093;Goianésia do Pará;Municipal;Total;184,67;191,36;188,015
15;Pará;1503101;Gurupá;Municipal;Total;160,81;172,87;166,84
15;Pará;1503200;Igarapé-Açu;Municipal;Total;173,38;182,72;178,05
15;Pará;1503309;Igarapé-Miri;Municipal;Total;168,09;178,64;173,365
15;Pará;1503408;Inhangapi;Municipal;Total;193,12;197,26;195,19
15;Pará;1503457;Ipixuna do Pará;Municipal;Total;187,97;194,22;191,095
15;Pará;1503507;Irituia;Municipal;Total;180,73;191,16;185,945
15;Pará;1503606;Itaituba;Municipal;Total;199,49;204,03;201,76
15;Pará;1503705;Itupiranga;Municipal;Total;170,56;182,24;176,4
15;Pará;1503804;Jacundá;Municipal;Total;184,68;195,75;190,215
15;Pará;1503903;Juruti;Municipal;Total;172,23;182,75;177,49
15;Pará;1504000;Limoeiro do Ajuru;Municipal;Total;168,38;179,91;174,145
15;Pará;1504059;Mãe do Rio;Municipal;Total;193,21;201,04;197,125
15;Pará;1504109;Magalhães Barata;Municipal;Total;166,41;176,3;171,355
15;Pará;1504208;Marabá;Municipal;Total;186,05;189,89;187,97
15;Pará;1504307;Maracanã;Municipal;Total;177,25;189,61;183,43
15;Pará;1504406;Marapanim;Municipal;Total;169,96;178,78;174,37
15;Pará;1504422;Marituba;Municipal;Total;191,96;199,38;195,67
15;Pará;1504455;Medicilândia;Municipal;Total;181,85;190,91;186,38
15;Pará;1504505;Melgaço;Municipal;Total;158,41;171,92;165,165
15;Pará;1504604;Mocajuba;Municipal;Total;168,41;179,41;173,91
15;Pará;1504703;Moju;Municipal;Total;174,61;188,47;181,54
15;Pará;1504752;Mojuí dos Campos;Municipal;Total;187,96;196,89;192,425
15;Pará;1504802;Monte Alegre;Municipal;Total;173,46;184,65;179,055
15;Pará;1504901;Muaná;Municipal;Total;174,67;184,8;179,735
15;Pará;1504950;Nova Esperança do Piriá;Municipal;Total;164,96;180,37;172,665
15;Pará;1504976;Nova Ipixuna;Municipal;Total;183,61;190,55;187,08
15;Pará;1505007;Nova Timboteua;Municipal;Total;174,9;188,28;181,59
15;Pará;1505031;Novo Progresso;Municipal;Total;197,32;205,06;201,19
15;Pará;1505064;Novo Repartimento;Municipal;Total;177,32;185,93;181,625
15;Pará;1505106;Óbidos;Municipal;Total;178,31;190,27;184,29
15;Pará;1505205;Oeiras do Pará;Municipal;Total;156,49;173,97;165,23
15;Pará;1505304;Oriximiná;Municipal;Total;184,21;191,9;188,055
15;Pará;1505403;Ourém;Municipal;Total;192,69;197,32;195,005
15;Pará;1505437;Ourilândia do Norte;Municipal;Total;189,71;199,15;194,43
15;Pará;1505486;Pacajá;Municipal;Total;177,35;185,21;181,28
15;Pará;1505494;Palestina do Pará;Municipal;Total;164,72;177,75;171,235
15;Pará;1505502;Paragominas;Municipal;Total;215,76;224,17;219,965
15;Pará;1505536;Parauapebas;Municipal;Total;209,02;214,35;211,685
15;Pará;1505551;Pau D'Arco;Municipal;Total;166,81;176,26;171,535
15;Pará;1505601;Peixe-Boi;Municipal;Total;197,2;204,16;200,68
15;Pará;1505635;Piçarra;Municipal;Total;175,1;182,88;178,99
15;Pará;1505650;Placas;Municipal;Total;188,37;191,85;190,11
15;Pará;1505700;Ponta de Pedras;Municipal;Total;168,82;181,16;174,99
15;Pará;1505809;Portel;Municipal;Total;165,93;179,69;172,81
15;Pará;1505908;Porto de Moz;Municipal;Total;165,99;180,3;173,145
15;Pará;1506005;Prainha;Municipal;Total;163,19;175,87;169,53
15;Pará;1506104;Primavera;Municipal;Total;190,79;198,32;194,555
15;Pará;1506112;Quatipuru;Municipal;Total;177,73;189,47;183,6
15;Pará;1506138;Redenção;Municipal;Total;188,33;193,66;190,995
15;Pará;1506161;Rio Maria;Municipal;Total;185,7;196,03;190,865
15;Pará;1506187;Rondon do Pará;Municipal;Total;195,8;205,82;200,81
15;Pará;1506195;Rurópolis;Municipal;Total;189,58;199,49;194,535
15;Pará;1506203;Salinópolis;Municipal;Total;180,31;186,99;183,65
15;Pará;1506302;Salvaterra;Municipal;Total;182,45;188,78;185,615
15;Pará;1506351;Santa Bárbara do Pará;Municipal;Total;197,62;200,16;198,89
15;Pará;1506401;Santa Cruz do Arari;Municipal;Total;151,14;164,49;157,815
15;Pará;1506500;Santa Izabel do Pará;Municipal;Total;180,86;185,37;183,115
15;Pará;1506559;Santa Luzia do Pará;Municipal;Total;165,53;176,31;170,92
15;Pará;1506583;Santa Maria das Barreiras;Municipal;Total;169,87;178,21;174,04
15;Pará;1506609;Santa Maria do Pará;Municipal;Total;175,59;179,56;177,575
15;Pará;1506708;Santana do Araguaia;Municipal;Total;182,15;189,61;185,88
15;Pará;1506807;Santarém;Municipal;Total;200,81;206,12;203,465
15;Pará;1506906;Santarém Novo;Municipal;Total;188,06;191,36;189,71
15;Pará;1507003;Santo Antônio do Tauá;Municipal;Total;171,64;180,52;176,08
15;Pará;1507102;São Caetano de Odivelas;Municipal;Total;179,45;192,25;185,85
15;Pará;1507151;São Domingos do Araguaia;Municipal;Total;171,4;182,02;176,71
15;Pará;1507201;São Domingos do Capim;Municipal;Total;171,36;183,73;177,545
15;Pará;1507300;São Félix do Xingu;Municipal;Total;169,61;179,83;174,72
15;Pará;1507409;São Francisco do Pará;Municipal;Total;177,42;179,19;178,305
15;Pará;1507458;São Geraldo do Araguaia;Municipal;Total;182,7;191,1;186,9
15;Pará;1507466;São João da Ponta;Municipal;Total;155,63;166,56;161,095
15;Pará;1507474;São João de Pirabas;Municipal;Total;172,99;180,01;176,5
15;Pará;1507508;São João do Araguaia;Municipal;Total;161,44;168,42;164,93
15;Pará;1507607;São Miguel do Guamá;Municipal;Total;183,78;190,3;187,04
15;Pará;1507706;São Sebastião da Boa Vista;Municipal;Total;175,17;185,44;180,305
15;Pará;1507755;Sapucaia;Municipal;Total;195,64;201,2;198,42
15;Pará;1507805;Senador José Porfírio;Municipal;Total;193,61;202,96;198,285
15;Pará;1507904;Soure;Municipal;Total;177,67;185,02;181,345
15;Pará;1507953;Tailândia;Municipal;Total;186,22;190,46;188,34
15;Pará;1507961;Terra Alta;Municipal;Total;180,57;192,31;186,44
15;Pará;1507979;Terra Santa;Municipal;Total;207,08;214,12;210,6
15;Pará;1508001;Tomé-Açu;Municipal;Total;181,5;186,26;183,88
15;Pará;1508035;Tracuateua;Municipal;Total;162,32;172,11;167,215
15;Pará;1508050;Trairão;Municipal;Total;198,44;202,7;200,57
15;Pará;1508084;Tucumã;Municipal;Total;192,7;199,55;196,125
15;Pará;1508100;Tucuruí;Municipal;Total;189,48;194,36;191,92
15;Pará;1508126;Ulianópolis;Municipal;Total;214,18;223,32;218,75
15;Pará;1508159;Uruará;Municipal;Total;183,47;187,78;185,625
15;Pará;1508209;Vigia;Municipal;Total;182,33;189,09;185,71
15;Pará;1508308;Viseu;Municipal;Total;158,67;168,68;163,675
15;Pará;1508357;Vitória do Xingu;Municipal;Total;199,87;209,97;204,92
15;Pará;1508407;Xinguara;Municipal;Total;186,77;196,79;191,78
16;Amapá;1600055;Serra do Navio;Municipal;Total;186,55;189,11;187,83
16;Amapá;1600105;Amapá;Municipal;Total;160,72;167,89;164,305
16;Amapá;1600154;Pedra Branca do Amapari;Municipal;Total;188,83;192,91;190,87
16;Amapá;1600204;Calçoene;Municipal;Total;174,36;183,18;178,77
16;Amapá;1600212;Cutias;Municipal;Total;180,05;172,62;176,335
16;Amapá;1600238;Ferreira Gomes;Municipal;Total;168,05;172,68;170,365
16;Amapá;1600253;Itaubal;Municipal;Total;175,64;189,69;182,665
16;Amapá;1600279;Laranjal do Jari;Municipal;Total;180,77;190,38;185,575
16;Amapá;1600303;Macapá;Municipal;Total;183,07;188,88;185,975
16;Amapá;1600402;Mazagão;Municipal;Total;180,91;188,4;184,655
16;Amapá;1600501;Oiapoque;Municipal;Total;170,99;175,95;173,47
16;Amapá;1600535;Porto Grande;Municipal;Total;173,92;182,28;178,1
16;Amapá;1600550;Pracuúba;Municipal;Total;153,42;167,76;160,59
16;Amapá;1600600;Santana;Municipal;Total;186,48;195,25;190,865
16;Amapá;1600709;Tartarugalzinho;Municipal;Total;174,21;181,77;177,99
16;Amapá;1600808;Vitória do Jari;Municipal;Total;173,65;178,97;176,31
17;Tocantins;1700251;Abreulândia;Municipal;Total;200,13;206,6;203,365
17;Tocantins;1700301;Aguiarnópolis;Municipal;Total;186,07;183,68;184,875
17;Tocantins;1700350;Aliança do Tocantins;Municipal;Total;219,99;228,43;224,21
17;Tocantins;1700400;Almas;Municipal;Total;180,1;191,62;185,86
17;Tocantins;1700707;Alvorada;Municipal;Total;208,55;214,4;211,475
17;Tocantins;1701002;Ananás;Municipal;Total;190,76;198,34;194,55
17;Tocantins;1701051;Angico;Municipal;Total;195,27;203,98;199,625
17;Tocantins;1701101;Aparecida do Rio Negro;Municipal;Total;206,07;219,27;212,67
17;Tocantins;1701309;Aragominas;Municipal;Total;180,34;188,6;184,47
17;Tocantins;1701903;Araguacema;Municipal;Total;166,01;179,63;172,82
17;Tocantins;1702000;Araguaçu;Municipal;Total;209,44;221,45;215,445
17;Tocantins;1702109;Araguaína;Municipal;Total;211,11;219,01;215,06
17;Tocantins;1702158;Araguanã;Municipal;Total;197,34;211,69;204,515
17;Tocantins;1702208;Araguatins;Municipal;Total;190,65;198,38;194,515
17;Tocantins;1702307;Arapoema;Municipal;Total;202,29;224,7;213,495
17;Tocantins;1702406;Arraias;Municipal;Total;202,75;205,93;204,34
17;Tocantins;1702554;Augustinópolis;Municipal;Total;211,49;224,93;218,21
17;Tocantins;1702901;Axixá do Tocantins;Municipal;Total;173,19;181,05;177,12
17;Tocantins;1703008;Babaçulândia;Municipal;Total;154,82;170,37;162,595
17;Tocantins;1703057;Bandeirantes do Tocantins;Municipal;Total;182,05;190,43;186,24
17;Tocantins;1703073;Barra do Ouro;Municipal;Total;172,94;180,74;176,84
17;Tocantins;1703107;Barrolândia;Municipal;Total;196,2;199,8;198
17;Tocantins;1703206;Bernardo Sayão;Municipal;Total;197,2;211,56;204,38
17;Tocantins;1703305;Bom Jesus do Tocantins;Municipal;Total;198,08;208,09;203,085
17;Tocantins;1703602;Brasilândia do Tocantins;Municipal;Total;219,85;212,94;216,395
17;Tocantins;1703701;Brejinho de Nazaré;Municipal;Total;207,73;203,6;205,665
17;Tocantins;1703800;Buriti do Tocantins;Municipal;Total;168,49;192,03;180,26
17;Tocantins;1703826;Cachoeirinha;Municipal;Total;183,51;190,6;187,055
17;Tocantins;1703842;Campos Lindos;Municipal;Total;175,25;184,95;180,1
17;Tocantins;1703867;Cariri do Tocantins;Municipal;Total;193,87;196,58;195,225
17;Tocantins;1703883;Carmolândia;Municipal;Total;199,18;201,45;200,315
17;Tocantins;1703891;Carrasco Bonito;Municipal;Total;162,02;170,82;166,42
17;Tocantins;1703909;Caseara;Municipal;Total;174,22;188,51;181,365
17;Tocantins;1704105;Centenário;Municipal;Total;178;182,88;180,44
17;Tocantins;1704600;Chapada de Areia;Municipal;Total;156,32;172,21;164,265
17;Tocantins;1705102;Chapada da Natividade;Municipal;Total;192,55;201,4;196,975
17;Tocantins;1705508;Colinas do Tocantins;Municipal;Total;202,2;209,16;205,68
17;Tocantins;1705557;Combinado;Municipal;Total;212,25;214,89;213,57
17;Tocantins;1705607;Conceição do Tocantins;Municipal;Total;194,83;217,67;206,25
17;Tocantins;1706001;Couto Magalhães;Municipal;Total;185,19;200,39;192,79
17;Tocantins;1706100;Cristalândia;Municipal;Total;183,39;184,89;184,14
17;Tocantins;1706258;Crixás do Tocantins;Municipal;Total;219,16;217,97;218,565
17;Tocantins;1706506;Darcinópolis;Municipal;Total;189,1;203,62;196,36
17;Tocantins;1707009;Dianópolis;Municipal;Total;195,77;204,2;199,985
